experiment,year,gini,compliance_rate,evasion_rate,total_sugar,population,avg_punishment_count,avg_evasion_success
enhanced_test,0,0.2527719030354362,0.35750000000000004,0.135,2449.3250000000003,200.0,0.3075,0.075
enhanced_test,1,0.29284611190077614,0.31999999999999995,0.1725,1967.9874999999993,200.0,0.4762626262626263,0.11375291375291376
enhanced_test,2,0.31132306953348277,0.21313131313131312,0.3132090132090132,1526.7141250000002,196.5,0.6063711569329546,0.21357575009260404
enhanced_test,3,0.34834591436952334,0.1382269415977281,0.29960488949252995,1179.8537250000002,180.0,0.7156593406593407,0.22344322344322345
enhanced_test,4,0.3543541604814313,0.07257326007326007,0.3035714285714286,932.5028324999998,162.0,0.7982881136950905,0.226421188630491
enhanced_test,5,0.34956200340573174,0.03286498708010336,0.28294573643410853,759.6274274999998,136.5,0.8554091281364009,0.18516863971409425
enhanced_test,6,0.3763674023179292,0.05934033206760479,0.3248455066636885,638.2064216859375,116.0,0.8819109461966606,0.16641929499072355
enhanced_test,7,0.3719025974375866,0.02949907235621521,0.3206864564007421,544.716006579375,104.0,0.9102272727272727,0.16755050505050503
enhanced_test,8,0.3391775196621236,0.03371212121212121,0.2972222222222222,479.26728093091003,89.0,0.9346377306903623,0.11713943950786057
enhanced_test,9,0.34316025113517556,0.0196514012303486,0.3133116883116883,432.6859706498544,76.5,0.9495859213250517,0.07867494824016563
enhanced_test,10,0.29985161756204426,0.12267080745341614,0.3746376811594203,430.8900588214332,69.5,1.0243131868131867,0.1304945054945055
enhanced_test,11,0.2636913748275884,0.21634615384615385,0.36071428571428577,423.49500669041527,60.5,1.1564814814814814,0.17592592592592593
enhanced_test,12,0.2794920434521132,0.15,0.39814814814814814,413.9760880511026,57.0,1.3500325309043593,0.19209499024072868
enhanced_test,13,0.29771650988968335,0.15468445022771635,0.44648666232921275,403.38179104437586,55.5,1.4659244264507423,0.24190283400809715
enhanced_test,14,0.29426171022570524,0.09446693657219973,0.3476720647773279,376.9190710823674,54.5,1.6445454545454545,0.16
enhanced_test,15,0.2826479420189528,0.07818181818181819,0.3981818181818182,355.24519332045134,52.5,1.7348828420256992,0.15287226001511717
enhanced_test,16,0.2948370362252577,0.03987150415721844,0.3883219954648526,341.47022345412785,51.5,1.8020793222949556,0.1476703889102811
enhanced_test,17,0.285793277593846,0.029072006160954948,0.38255679630342704,322.5173546597249,51.0,1.8702904238618525,0.07025117739403454
enhanced_test,18,0.28352771212996364,0.0,0.3963893249607535,303.07010814626574,50.5,1.930337519623234,0.05102040816326531
enhanced_test,19,0.27002267484715314,0.02943485086342229,0.4065934065934066,290.6509012463922,50.5,1.9393382352941178,0.041666666666666664
enhanced_test,20,0.2609096095260729,0.0,0.39460784313725494,279.66979329750586,49.5,1.9595588235294117,0.03125
enhanced_test,21,0.23578163175492128,0.0704656862745098,0.3443627450980392,278.09207115835784,49.5,2.030024509803922,0.030024509803921566
enhanced_test,22,0.25545925295801697,0.061274509803921566,0.4154411764705882,289.16564768002326,49.5,2.1409313725490193,0.1096813725490196
enhanced_test,23,0.2560437645132859,0.0821078431372549,0.39460784313725494,296.8177087950239,49.5,2.2310049019607843,0.15870098039215685
enhanced_test,24,0.2731218216752498,0.12990196078431374,0.42463235294117646,306.334383057142,49.5,2.3731617647058822,0.19852941176470587
enhanced_test,25,0.2918808930478106,0.08026960784313725,0.4650735294117647,304.2558666126107,49.5,2.493872549019608,0.18933823529411767
enhanced_test,26,0.3136458674891468,0.1292892156862745,0.49693627450980393,307.5654314905962,49.5,2.57125,0.25375000000000003
enhanced_test,27,0.32643625842130775,0.13,0.4604166666666667,305.69183264200973,49.0,2.65695652173913,0.2604347826086957
enhanced_test,28,0.33271991009962654,0.10347826086956521,0.5617391304347825,296.8190984506361,48.0,2.7362466725820767,0.3052351375332742
enhanced_test,29,0.33685235599328156,0.07342502218278615,0.5561224489795918,284.4689989391266,47.5,2.7994676131322094,0.25221827861579416
enhanced_test,30,0.3423591569190716,0.04148181011535049,0.6200088731144632,270.78567252942116,47.5,2.8633540372670807,0.23047914818101156
enhanced_test,31,0.32434870672713867,0.06188997338065661,0.6104702750665484,256.0991889551344,47.5,2.9055013309671693,0.1264418811002662
enhanced_test,32,0.2991177710461723,0.042147293700088725,0.5887311446317658,255.2823469084235,47.5,3.0,0.10403726708074534
enhanced_test,33,0.31205026624770393,0.06188997338065661,0.559449866903283,260.49188873560144,47.5,3.053894927536232,0.13768115942028986
enhanced_test,34,0.311375953377769,0.12681159420289856,0.511322463768116,261.8736606839127,47.0,3.1490036231884058,0.12817028985507248
enhanced_test,35,0.30974199723353113,0.1068840579710145,0.5104166666666667,265.72055833052,47.0,3.264945652173913,0.15987318840579712
enhanced_test,36,0.3095644976257823,0.03170289855072464,0.5643115942028986,260.23174917798167,47.0,3.3756944444444446,0.16319444444444445
enhanced_test,37,0.2934208171977897,0.08680555555555555,0.5930555555555556,255.73247268872203,46.5,3.455492424242424,0.19981060606060608
enhanced_test,38,0.2803509413125497,0.09659090909090909,0.5369318181818181,261.0426170325939,46.0,3.5060444874274665,0.17746615087040618
enhanced_test,39,0.2908429150342311,0.08655705996131527,0.5210348162475822,259.5857413873975,45.5,3.600296442687747,0.19120553359683795
enhanced_test,40,0.30434899448466024,0.07806324110671936,0.49209486166007904,257.67295759558294,45.0,3.6892292490118574,0.14624505928853754
enhanced_test,41,0.3083782016869602,0.055830039525691696,0.5143280632411067,250.7792316123787,45.0,3.755928853754941,0.14476284584980237
