experiment,year,gini,compliance_rate,evasion_rate,total_sugar,population
test_run,0,0.22376410193622842,0.425,0.275,2858.6499999999987,200.0
test_run,1,0.22435881745671216,0.455,0.24,2767.9325000000013,200.0
test_run,2,0.232534251738999,0.415,0.29,2639.6287500000017,200.0
test_run,3,0.24336398347019994,0.335,0.28,2529.4891125000004,200.0
test_run,4,0.24124834426649766,0.215,0.43,2438.0423737500014,200.0
test_run,5,0.2413212580506876,0.31,0.395,2392.593581250001,200.0
test_run,6,0.24984990881930802,0.195,0.4,2353.001820275,200.0
test_run,7,0.2454544554048652,0.275,0.405,2315.076671045,200.0
